id,name,vintage,country,winery,grapes,rating,price,acidity,intensity,sweetness,tannin,flavor_rank1,flavor_rank2,flavor_rank3
2194772,Foncalieu Le Versant Merlot 2021,2021,France,Foncalieu,Syrah;Grenache;Mourvèdre,3.8,10.11,3.756958,3.9242172,1.2309488,3.496807,black_fruit,red_fruit,oak
11979422,Château de Saint Cosme Micro-Cosme Rouge 2024,2024,France,Château de Saint Cosme,,3.8,9.95,3.1104445,3.3292594,2.3212593,3.2016294,,,
2017273,Château Cap de Merle Lussac Saint-Émilion 2019,2019,France,Château Cap de Merle,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.8,9.9,3.3804567,3.9541118,1.1091878,3.472386,earth,oak,black_fruit
1938996,Colombes des Vignes Côtes-du-Rhône-Villages 'Plan de Dieu' 2022,2022,France,Colombes des Vignes,Syrah;Grenache;Mourvèdre,3.8,9.3,3.168831,3.3376622,2.3441558,3.185065,,,
1935908,Moulin de Gassac Elise 2021,2021,France,Moulin de Gassac,Syrah;Grenache;Mourvèdre,3.8,10,3.6231523,3.6767864,1.8728645,3.4537373,black_fruit,oak,red_fruit
2638768,Domaine du Rochouard Le Coteau Bourgueil 2021,2021,France,Domaine du Rochouard,Cabernet franc,3.8,9.8,3.5714285,3.2571428,2.142857,3.5714285,,,
2638768,Domaine du Rochouard Le Coteau Bourgueil 2022,2022,France,Domaine du Rochouard,Cabernet franc,3.8,9.8,3.5714285,3.2571428,2.142857,3.5714285,,,
2638768,Domaine du Rochouard Le Coteau Bourgueil 2023,2023,France,Domaine du Rochouard,Cabernet franc,3.8,9.5,3.5714285,3.2571428,2.142857,3.5714285,,,
1244939,Château des Eyssards Cuvee Prestige Rouge 2019,2019,France,Château des Eyssards,,3.8,9.5,4.380071,4.538298,1.83539,3.3551419,oak,black_fruit,red_fruit
1550662,Domaine Dupasquier Mondeuse Savoie 2017,2017,France,Domaine Dupasquier,Pinot Noir;Gamay;Mondeuse noire,3.8,10,4.1032743,2.5508804,1.2162676,2.5749998,red_fruit,earth,black_fruit
5873225,Jeff Carrel Pinot Noir 'En Coteaux' 2022,2022,France,Jeff Carrel,Syrah;Grenache;Mourvèdre,3.8,9.95,3.4967675,2.6743371,1.4703221,3.0296714,red_fruit,oak,earth
1212048,Château Puy Castera Haut-Médoc 2022,2022,France,Château Puy Castera,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.8,9.9,4.170196,4.2867575,1.4277829,4.2875113,oak,black_fruit,red_fruit
1165729,Château Malagar Côtes de Bordeaux 2015,2015,France,Château Malagar,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.8,9.9,3.7973685,3.660664,1.4871792,3.4723654,black_fruit,oak,earth
2402877,Château Pesquie Ventoux Edition 1912m 2022,2022,France,Château Pesquie,Syrah;Grenache;Mourvèdre,3.8,9.95,3.466683,3.881345,1.4210453,3.2937245,red_fruit,black_fruit,earth
1177306,Château Haut-Monplaisir Tradition Cahors Malbec 2022,2022,France,Château Haut-Monplaisir,Malbec,3.8,9.8,3.127444,3.9688792,1.5366954,3.3651714,black_fruit,earth,oak
5120050,Terroir Feely Résonance 2011,2011,France,Terroir Feely,,3.8,10,3.5,3,1,4,black_fruit,red_fruit,citrus_fruit
1189527,Xavier Vignon Ventoux 2022,2022,France,Xavier Vignon,Syrah;Grenache;Mourvèdre,3.8,9.25,3.375238,3.908129,1.6681427,3.0849268,black_fruit,oak,spices
